date_time,Solar_power,rh,eto,etr,rso,ea_avg,precip,rh_max,rh_min,rh_tmn,rh_tmx,td_avg,td_max,td_min,td_tmn,td_tmx,co2_avg,ppf_avg,solarmj,wet_pct,airt_avg,airt_max,airt_min,airt_tmn,airt_tmx,lwdn_avg,lwup_avg,pressure,swdn_avg,swup_avg,windd_sd,windd_avg,winds_avg,winds_max,winds_tmx,netrad_avg,fan_rmp_avg,visibilitymiles,batt_volt_min,surfacet1_avg,surfacet2_avg,visibilitymiles_avg,pressurekpasealevel
2019-07-11 13:59:00,51460.05357616989,18,0.029,0.033,3.472,0.848,0.0,20,15,11JUL2019:13:56:21,11JUL2019:13:47:01,40.3,46.4,37.0,11JUL2019:13:32:04,11JUL2019:13:47:04,423.2,2005.0,3.329,0,90.5,91.8,89.4,11JUL2019:13:20:22,11JUL2019:13:05:52,504.6,411.6,86.0,202.0,975.0,60.0,293.0,3.355,10.737,11JUL2019:13:16:50,679.8,4490,12.676,12.55,91.0,94.8,18.765,101.5
2019-07-11 14:59:00,-1725384739.1142647,17,0.029,0.034,3.223,0.845,0.0,20,14,11JUL2019:14:13:41,11JUL2019:14:01:41,40.1,45.5,36.1,11JUL2019:14:13:44,11JUL2019:14:01:44,423.4,1839.0,3.064,0,90.7,92.1,89.8,11JUL2019:14:34:32,11JUL2019:14:52:22,501.5,409.8,86.0,195.5,900.0,62.0,292.0,3.355,14.093,11JUL2019:14:40:03,612.8,4478,19.884,12.51,88.7,94.8,19.2,101.5
2019-07-11 15:59:00,-390563268.3739672,16,0.027,0.031,2.782,0.842,0.0,18,13,11JUL2019:15:29:51,11JUL2019:15:24:31,40.1,43.7,34.9,11JUL2019:15:29:54,11JUL2019:15:24:34,425.0,1568.0,2.63,0,91.2,92.7,90.1,11JUL2019:15:21:42,11JUL2019:15:17:02,498.4,408.9,85.9,179.0,772.0,67.0,297.0,2.684,10.514,11JUL2019:15:49:05,503.5,4470,19.884,12.55,86.7,93.9,19.014,101.4
2019-07-11 16:59:00,39081.839879274,16,0.022,0.026,2.202,0.782,0.0,19,13,11JUL2019:16:11:21,11JUL2019:16:56:51,38.1,44.4,34.9,11JUL2019:16:11:24,11JUL2019:16:56:54,426.4,1221.0,2.083,0,91.0,92.5,89.8,11JUL2019:16:56:42,11JUL2019:16:16:02,488.6,404.3,85.8,152.0,606.3,77.0,277.0,2.237,10.066,11JUL2019:16:25:46,370.0,4469,19.884,12.53,85.1,88.9,19.573,101.3
2019-07-11 17:59:00,28835.14674907506,23,0.017,0.02,1.534,0.826,0.0,32,14,11JUL2019:17:01:21,11JUL2019:17:14:41,39.6,55.8,36.1,11JUL2019:17:32:54,11JUL2019:17:14:44,427.8,830.0,1.469,0,89.4,91.6,80.8,11JUL2019:17:14:32,11JUL2019:17:59:02,469.9,396.3,85.8,109.1,416.8,69.0,300.0,1.566,9.171,11JUL2019:17:16:10,234.1,4399,19.884,12.23,83.5,78.1,19.014,101.3
2019-07-11 18:59:00,15536.172053737031,18,0.011,0.013,0.8280001,0.857,0.0,22,14,11JUL2019:18:04:21,11JUL2019:18:15:51,40.5,47.1,36.5,11JUL2019:18:04:24,11JUL2019:18:15:54,429.4,508.0,1.144,0,88.3,91.0,82.9,11JUL2019:18:15:32,11JUL2019:18:03:42,449.4,390.1,85.8,41.14,286.0,55.0,279.0,0.895,4.25,11JUL2019:18:03:06,185.5,4340,19.635,12.07,77.5,70.3,19.2,101.3
2019-07-11 19:59:00,7594.273587489821,21,0.007,0.008,0.203,0.879,0.0,25,16,11JUL2019:19:00:51,11JUL2019:19:45:51,41.2,44.2,37.6,11JUL2019:19:59:54,11JUL2019:19:13:04,434.5,94.3,0.225,0,84.4,89.2,80.8,11JUL2019:19:50:22,11JUL2019:19:00:42,430.1,377.2,85.8,2.118,36.52,41.0,311.0,0.895,4.25,11JUL2019:19:56:40,-18.47,4334,19.884,12.02,69.1,66.7,19.76,101.3
2019-07-11 20:59:00,0.0,23,0.0,0.0,0.0,0.87,0.0,27,20,11JUL2019:20:00:21,11JUL2019:20:21:11,41.0,43.2,37.6,11JUL2019:20:00:24,11JUL2019:20:21:04,437.4,-1.953,0.003,0,80.6,83.7,78.1,11JUL2019:20:58:02,11JUL2019:20:00:02,415.8,367.5,85.9,0.43,0.001,74.0,279.0,1.79,8.053,11JUL2019:20:55:46,-48.75,4296,19.884,11.87,64.2,63.7,19.325,101.4
2019-07-12 05:59:00,0.0,41,0.004,0.006,0.09,0.839,0.0,42,40,12JUL2019:05:01:51,12JUL2019:05:49:31,39.9,40.3,39.7,12JUL2019:05:02:34,12JUL2019:05:28:44,452.7,31.28,0.04,0,63.9,65.3,63.1,12JUL2019:05:49:22,12JUL2019:05:00:32,387.8,332.9,86.0,2.565,9.55,63.0,117.0,4.25,15.211,12JUL2019:05:59:58,-47.99,4210,19.884,11.69,56.5,56.5,19.822,101.5
2019-07-12 06:59:00,3779.037402311848,43,0.003,0.005,0.6390001,0.857,0.0,46,39,12JUL2019:06:57:01,12JUL2019:06:30:41,40.5,43.3,39.7,12JUL2019:06:01:24,12JUL2019:06:30:24,451.5,96.4,0.125,0,64.9,66.6,63.5,12JUL2019:06:12:22,12JUL2019:06:59:02,391.2,335.0,86.0,6.247,36.55,60.0,67.0,4.25,18.567,12JUL2019:06:04:35,-25.89,4220,19.884,11.75,57.7,57.6,19.822,101.5
