date_time,station_id,rh,eto,etr,rso,ea_avg,precip,rh_max,rh_min,rh_tmn,rh_tmx,td_avg,td_max,td_min,td_tmn,td_tmx,co2_avg,ppf_avg,solarmj,wet_pct,airt_avg,airt_max,airt_min,airt_tmn,airt_tmx,lwdn_avg,lwup_avg,pressure,swdn_avg,swup_avg,windd_sd,windd_avg,winds_avg,winds_max,winds_tmx,netrad_avg,fan_rmp_avg,visibilitymiles,batt_volt_min,surfacet1_avg,surfacet2_avg,visibilitymiles_avg,pressurekpasealevel
7/11/2019 0:59,1279257,30,0.002,0.003,0,0.741,0,31,29,11JUL2019:00:23:11,11JUL2019:00:33:41,36.9,37.2,36.5,11JUL2019:00:55:04,11JUL2019:00:00:04,447.5,-3.598,0,0,69.6,71.4,68.2,11JUL2019:00:30:22,11JUL2019:00:21:52,401.2,338.5,86.1,0.728,0,42,40,5.369,18.119,11JUL2019:00:47:39,-63.37,4252,19.884,11.79,60.8,60.3,19.822,101.6
7/11/2019 1:59,1279257,31,0.002,0.003,0,0.732,0,32,30,11JUL2019:01:53:21,11JUL2019:01:24:31,36.5,37,36,11JUL2019:01:53:24,11JUL2019:01:06:04,449.3,-3.598,0,0,68.2,69.1,66.6,11JUL2019:01:23:52,11JUL2019:01:48:52,394.9,334.8,86,0.968,0,63,97,3.803,13.198,11JUL2019:01:56:17,-61.05,4263,19.884,11.79,58.5,58.3,19.822,101.6
7/11/2019 2:59,1279257,32,0.001,0.002,0,0.716,0,33,30,11JUL2019:02:57:01,11JUL2019:02:17:01,36,37,35.4,11JUL2019:02:56:24,11JUL2019:02:16:54,448.9,-3.599,0,0,67.3,68.5,65.7,11JUL2019:02:35:32,11JUL2019:02:01:12,393.7,333,86.1,0.885,0,46,132,4.698,17.448,11JUL2019:02:41:18,-61.61,4275,19.884,11.82,58.3,58.1,19.822,101.6
7/11/2019 3:59,1279257,32,0.002,0.002,0,0.703,0,33,30,11JUL2019:03:01:21,11JUL2019:03:45:01,35.4,35.8,35.2,11JUL2019:03:20:04,11JUL2019:03:31:34,449.2,-3.599,0,0,66.4,68.2,64.9,11JUL2019:03:50:32,11JUL2019:03:00:52,391.4,331.2,86.1,0.727,0,66,95,4.25,16.553,11JUL2019:03:02:49,-60.99,4241,19.635,11.78,57.6,57.4,19.822,101.6
7/11/2019 4:59,1279257,32,0.001,0.002,0,0.686,0,33,30,11JUL2019:04:20:11,11JUL2019:04:01:31,34.9,35.6,34.5,11JUL2019:04:51:24,11JUL2019:04:00:01,449,-2.949,0.001,0,66,67.8,64.2,11JUL2019:04:58:52,11JUL2019:04:11:02,389.5,329.9,86.1,1.155,0,62,106,4.026,14.987,11JUL2019:04:52:07,-60.79,4231,19.884,11.81,56.8,56.8,19.884,101.7
7/11/2019 5:59,1279257,32,0.003,0.006,0.094,0.679,0,33,31,11JUL2019:05:17:21,11JUL2019:05:55:21,34.7,35.1,34.2,11JUL2019:05:17:24,11JUL2019:05:49:34,448.9,31.28,0.039,0,65.5,67.3,64.4,11JUL2019:05:49:12,11JUL2019:05:16:22,387.4,329.5,86.1,2.596,9.02,68,91,3.803,12.974,11JUL2019:05:16:28,-51.56,4251,19.884,11.83,56.1,56.1,19.884,101.7
7/11/2019 6:59,1279257,34,0.003,0.005,0.6530001,0.707,0,36,31,11JUL2019:06:29:21,11JUL2019:06:50:21,35.6,38.5,34.5,11JUL2019:06:00:34,11JUL2019:06:50:24,449.3,93.5,0.119,0,65.7,67.8,64,11JUL2019:06:04:32,11JUL2019:06:46:52,388.8,330.1,86.2,5.934,34.39,56,143,3.803,15.882,11JUL2019:06:44:17,-30.2,4280,19.884,11.83,56.7,56.7,19.822,101.7
7/11/2019 7:59,1279257,41,0.004,0.006,1.351,0.851,0,52,31,11JUL2019:07:01:11,11JUL2019:07:29:11,40.1,47.3,35.6,11JUL2019:07:01:14,11JUL2019:07:29:14,457.2,616.5,1.1,0,68.2,71.2,64,11JUL2019:07:26:42,11JUL2019:07:55:52,405.8,343.5,86.2,56.18,323.3,62,78,3.579,18.119,11JUL2019:07:47:02,204.8,4327,19.884,11.89,60.1,64.8,19.573,101.8
7/11/2019 8:59,1279257,42,0.009,0.012,2.026,1.209,0,53,32,11JUL2019:08:00:01,11JUL2019:08:18:31,49.6,54.1,39.7,11JUL2019:08:00:01,11JUL2019:08:43:14,487.7,1143,1.98,0,70.3,74.3,67.5,11JUL2019:08:07:32,11JUL2019:08:58:52,448.4,358.7,86.2,137.9,570.2,65,197,1.342,7.829,11JUL2019:08:00:03,342.5,4503,19.014,12.41,76.3,79.5,17.585,101.8
7/11/2019 9:59,1279257,41,0.015,0.016,2.598,1.194,0,46,36,11JUL2019:09:52:21,11JUL2019:09:16:41,49.3,52.9,47.7,11JUL2019:09:34:54,11JUL2019:09:16:44,447,1511,2.554,0,74.5,77.5,70.5,11JUL2019:09:02:22,11JUL2019:09:53:32,469.2,374.5,86.2,169.5,743.8,64,340,1.79,5.369,11JUL2019:09:09:51,479.5,4570,17.088,12.73,85.5,83.1,17.523,101.7
7/11/2019 10:59,1279257,36,0.02,0.022,3.077,1.223,0,43,30,11JUL2019:10:59:01,11JUL2019:10:00:21,49.8,53.8,48,11JUL2019:10:07:04,11JUL2019:10:54:04,443.1,1691,2.811,0,79.5,82.8,76.8,11JUL2019:10:01:32,11JUL2019:10:59:02,485.4,389.3,86.1,175.7,818,58,302,1.566,5.592,11JUL2019:10:03:40,546,4538,14.664,12.67,90.3,88,17.398,101.7
7/11/2019 11:59,1279257,28,0.022,0.025,3.386,1.169,0,33,22,11JUL2019:11:58:41,11JUL2019:11:00:31,48.7,53.6,44.4,11JUL2019:11:58:44,11JUL2019:11:25:24,434.8,1981,3.287,0,85.1,87.6,81.9,11JUL2019:11:01:52,11JUL2019:11:44:02,501.9,402.8,86.1,198,958,60,288,2.013,8.053,11JUL2019:11:26:10,661,4513,19.884,12.55,93.2,93.9,17.647,101.7
7/11/2019 12:59,1279257,20,0.027,0.031,3.518,0.968,0,25,15,11JUL2019:12:57:31,11JUL2019:12:17:51,43.5,49.5,37.8,11JUL2019:12:42:24,11JUL2019:12:17:54,425.4,2050,3.398,0,88.7,91,86.2,11JUL2019:12:05:22,11JUL2019:12:56:22,504.7,410,86.1,202.9,992,58,296,2.908,10.066,11JUL2019:12:39:38,694.6,4511,17.771,12.55,92.1,95,18.765,101.6
7/11/2019 13:59,1279257,18,0.029,0.033,3.472,0.848,0,20,15,11JUL2019:13:56:21,11JUL2019:13:47:01,40.3,46.4,37,11JUL2019:13:32:04,11JUL2019:13:47:04,423.2,2005,3.329,0,90.5,91.8,89.4,11JUL2019:13:20:22,11JUL2019:13:05:52,504.6,411.6,86,202,975,60,293,3.355,10.737,11JUL2019:13:16:50,679.8,4490,12.676,12.55,91,94.8,18.765,101.5
